Ground Ball ID,Game,Game Date,Opponent,Fielder ,Pitcher ,Pitch Type,Position,Lane,Hop,Hands,Arm Slot,Footwork,Play At,Error (Y/N),Error Comment
GB00001,6-4 vs Danbury,4-Jun,Danbury,Brady Short,Michael Lorenzetti,CH,2nd,Forehand,In-Between,One,Over The Top,Gather,1st,No,
GB00002,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Michael Lorenzetti,FB,SS,Forehand,Long,One,Side,On the run,1st,No,
GB00003,6-4 vs Danbury,4-Jun,Danbury,Brady Short,Michael Lorenzetti,CH,2nd,Middle,Short,One,Flip,On the run,2nd,No,
GB00004,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Michael Lorenzetti,FB,SS,Middle,Short,Two,Low,On the run,1st,No,
GB00005,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Michael Lorenzetti,CH,SS,Backhand,Long,One,error,error,1st,Yes,Fielding error
GB00006,6-4 vs Danbury,4-Jun,Danbury,Brady Short,Kevin Kell,CB,2nd,Forehand,Short,One,Side,2 step,1st,No,
GB00007,6-4 vs Danbury,4-Jun,Danbury,Cal Parrillo,Kevin Kell,CB,1st,Middle,In-Between,Two,Take,Take,1st,No,
GB00008,6-4 vs Danbury,4-Jun,Danbury,Michael Zarrillo,Kevin Kell,CB,3rd,Backhand,Short,One,error,error,1st,Yes,Fielding error
GB00009,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Kevin Kell,CB,SS,Forehand,Long,One,Over The Top,Spin,1st,Yes,Throw wasn't scooped
GB00010,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Topolski,FB,SS,Forehand,In-Between,One,Side,On the run,1st,No,
GB00011,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Carson Renner,FB,SS,Forehand,Short,One,error,error,1st,Yes,Fielding error
GB00012,6-4 vs Danbury,4-Jun,Danbury,Jordan Peyton,Carson Renner,SL,SS,Middle,In-Between,Two,Flip,2 step,2nd,No,
GB00013,6-7 Vs Danbury,7-Jun,Danbury,Jordan Peyton,Jackson Kossow,FB,SS,Backhand,In-Between,One,Side,2 step,1st,No,
GB00014,6-7 Vs Danbury,7-Jun,Danbury,Dean Ferrara,Jackson Kossow,FB,3rd,Forehand,Roll,One,Side,On the run,1st,No,
GB00015,6-7 Vs Danbury,7-Jun,Danbury,JT Landwehr,Andrew Gormley,SL,2nd,Forehand,Long,One,Over The Top,Gather,1st,Yes,Throwing
